No.,Time,Source,Destination,Protocol,Length,Info,Clasificacion_MLP,Clasificacion_RF,Confianza_MLP,Confianza_RF
1,0.0,fe80::77d9:8ec9:8ada:f849,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question",Sospechoso,Sospechoso,57.7%,100.0%
2,0.0,10.157.71.174,224.0.0.251,MDNS,87,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question",Normal,Normal,45.7%,100.0%
3,0.0,10.157.71.174,239.255.255.250,SSDP,167,M-SEARCH * HTTP/1.1 ,Normal,Normal,45.6%,100.0%
4,0.0,10.157.65.239,224.0.0.251,MDNS,145,"Standard query 0x0000 ANY D4:3D:52:49:9B:68@OneScreen-6786._raop._tcp.local, ""QM"" question SRV 0 0 51040 es-D43D52499B68.local",Normal,Normal,46.7%,100.0%
5,0.000712,10.157.65.211,224.0.0.251,MDNS,77,"Standard query 0x0000 A soporte_uaa.local, ""QM"" question",Normal,Normal,45.5%,100.0%
6,0.000712,fe80::6a4:95b3:539c:2a84,ff02::fb,MDNS,97,"Standard query 0x0000 A soporte_uaa.local, ""QM"" question",Sospechoso,Sospechoso,57.8%,100.0%
7,0.000712,fe80::6a4:95b3:539c:2a84,ff02::fb,MDNS,97,"Standard query 0x0000 AAAA soporte_uaa.local, ""QU"" question",Sospechoso,Sospechoso,57.8%,100.0%
8,0.001335,10.157.65.211,224.0.0.251,MDNS,77,"Standard query 0x0000 AAAA soporte_uaa.local, ""QU"" question",Normal,Normal,45.5%,100.0%
9,0.001335,fe80::4343:107b:99c5:ffad,ff02::fb,MDNS,102,"Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question",Sospechoso,Sospechoso,57.7%,100.0%
10,0.002032,10.157.65.191,224.0.0.251,MDNS,82,"Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question",Normal,Normal,45.6%,100.0%
11,0.102436,10.157.69.197,239.255.255.250,SSDP,167,M-SEARCH * HTTP/1.1 ,Normal,Normal,45.6%,100.0%
12,0.102436,::,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,Sospechoso,Sospechoso,55.2%,100.0%
13,0.102436,Sophos_fc:00:09,Broadcast,ARP,56,Who has 10.157.70.32? Tell 10.157.64.1,Posible Ataque,Posible Ataque,47.0%,100.0%
14,0.20393,Sophos_fc:00:09,Broadcast,ARP,56,Who has 10.157.71.17? Tell 10.157.64.1,Posible Ataque,Posible Ataque,47.1%,100.0%
15,0.20393,10.157.65.239,224.0.0.251,MDNS,145,"Standard query 0x0000 ANY D4:3D:52:49:9B:68@OneScreen-6786._raop._tcp.local, ""QM"" question SRV 0 0 51040 es-D43D52499B68.local",Normal,Normal,46.7%,100.0%
16,0.307247,Sophos_fc:00:09,Broadcast,ARP,56,Who has 10.157.67.181? Tell 10.157.64.1,Posible Ataque,Posible Ataque,47.2%,100.0%
17,0.307247,10.157.65.211,224.0.0.22,IGMPv3,56,Membership Report / Leave group 224.0.0.252,Normal,Normal,45.7%,100.0%
18,0.307247,fe80::6a4:95b3:539c:2a84,ff02::1:3,LLMNR,89,Standard query 0x064c ANY CHIA74417,Sospechoso,Sospechoso,57.6%,100.0%
