No.,Time,Source,Destination,Protocol,Length,Info,Clasificacion,Confianza
1,0.0,fe80::906a:86ff:fe22:c2e1,ff02::fb,MDNS,312,"Standard query response 0x0000 PTR I1dSS1b8n14AAA._FC9F5ED42C8A._tcp.local A, cache flush 10.157.64.22 TXT, cache flush NSEC, cache flush I1dSS1b8n14AAA._FC9F5ED42C8A._tcp.local NSEC, cache flush Android_WUDZSO3F.local SRV, cache flush 0 0 53601 Android_WUDZSO3F.local AAAA, cache flush fe80::906a:86ff:fe22:c2e1",Posible Ataque,100.0%
2,0.0,fe80::84bc:77ff:fe58:63bd,ff02::fb,MDNS,313,"Standard query response 0x0000 PTR I0U1S1L8n14AAA._FC9F5ED42C8A._tcp.local SRV, cache flush 0 0 53601 Android_FOEAPPWU.local TXT, cache flush A, cache flush 10.157.67.156 NSEC, cache flush Android_FOEAPPWU.local NSEC, cache flush I0U1S1L8n14AAA._FC9F5ED42C8A._tcp.local AAAA, cache flush fe80::84bc:77ff:fe58:63bd",Posible Ataque,100.0%
3,0.0,10.157.70.11,224.0.0.251,MDNS,292,"Standard query response 0x0000 PTR I1BSU0f8n14AAA._FC9F5ED42C8A._tcp.local NSEC, cache flush I1BSU0f8n14AAA._FC9F5ED42C8A._tcp.local AAAA, cache flush fe80::8c33:feff:fe8d:5246 NSEC, cache flush Android_8YKDBOXU.local TXT, cache flush SRV, cache flush 0 0 53601 Android_8YKDBOXU.local A, cache flush 10.157.70.11",Normal,100.0%
4,0.000505,HuiZhouGaosh_b2:23:05,Broadcast,ARP,56,Who has 10.157.70.117? Tell 10.157.65.92,Sospechoso,100.0%
5,0.000505,Sophos_fc:00:09,Broadcast,ARP,56,Who has 10.157.67.77? Tell 10.157.64.1,Sospechoso,100.0%
6,0.000505,10.157.65.195,255.255.255.255,UDP,110,53943  >  24410 Len=68,Normal,100.0%
7,0.001151,10.157.67.31,224.0.0.251,MDNS,292,"Standard query response 0x0000 PTR I1pKVDb8n14AAA._FC9F5ED42C8A._tcp.local AAAA, cache flush fe80::e4ff:adff:fe02:84a7 TXT, cache flush A, cache flush 10.157.67.31 NSEC, cache flush Android_WFQZ6944.local NSEC, cache flush I1pKVDb8n14AAA._FC9F5ED42C8A._tcp.local SRV, cache flush 0 0 53601 Android_WFQZ6944.local",Normal,100.0%
8,0.001151,fe80::b4ae:daff:fe90:2b1d,ff02::fb,MDNS,312,"Standard query response 0x0000 PTR IzBLREH8n14AAA._FC9F5ED42C8A._tcp.local A, cache flush 10.157.65.36 NSEC, cache flush Android_CSZPVPTX.local AAAA, cache flush fe80::b4ae:daff:fe90:2b1d NSEC, cache flush IzBLREH8n14AAA._FC9F5ED42C8A._tcp.local SRV, cache flush 0 0 53601 Android_CSZPVPTX.local TXT, cache flush",Posible Ataque,100.0%
9,0.001151,10.157.65.36,224.0.0.251,MDNS,292,"Standard query response 0x0000 PTR IzBLREH8n14AAA._FC9F5ED42C8A._tcp.local A, cache flush 10.157.65.36 NSEC, cache flush Android_CSZPVPTX.local AAAA, cache flush fe80::b4ae:daff:fe90:2b1d NSEC, cache flush IzBLREH8n14AAA._FC9F5ED42C8A._tcp.local SRV, cache flush 0 0 53601 Android_CSZPVPTX.local TXT, cache flush",Normal,100.0%
10,0.001738,fe80::2c67:a9ff:fe52:4c1e,ff02::fb,MDNS,313,"Standard query response 0x0000 PTR IzVaOVL8n14AAA._FC9F5ED42C8A._tcp.local NSEC, cache flush Android_5V8OCUM5.local TXT, cache flush SRV, cache flush 0 0 53601 Android_5V8OCUM5.local NSEC, cache flush IzVaOVL8n14AAA._FC9F5ED42C8A._tcp.local A, cache flush 10.157.70.104 AAAA, cache flush fe80::2c67:a9ff:fe52:4c1e",Posible Ataque,100.0%
